町名,センター,燃やせるごみ,資源ごみ,古紙,ビン,ペットボトル
曙町,敦賀市清掃センター,水 土,水,木1,木1,水
相生町,敦賀市清掃センター,水 土,水,木1,木1,水
赤崎,敦賀市清掃センター,火 金,火,木4,木4,火
挙野,敦賀市清掃センター,火 金,火,木4,木4,火
阿曽,敦賀市清掃センター,火 金,火,木4,木4,火
麻生口,敦賀市清掃センター,水 土,水,金1,金1,水
莇生野,敦賀市清掃センター,火 金,金,月4,月4,金
鋳物師町,敦賀市清掃センター,火 金,火,水1,水1,火
色浜,敦賀市清掃センター,火 金,火,水4,水4,火
五幡,敦賀市清掃センター,火 金,火,木4,木4,火
井川,敦賀市清掃センター,月 木,月,火2,火2,月
池河内,敦賀市清掃センター,月 木,月,火2,火2,月
泉ケ丘町,敦賀市清掃センター,月 木,月,火2,火2,月
市橋,敦賀市清掃センター,水 土,水,金1,金1,水
市野々1丁目,敦賀市清掃センター,水 土,水,木2,木2,水
市野々2丁目,敦賀市清掃センター,水 土,水,木2,木2,水
浦底,敦賀市清掃センター,火 金,火,水4,水4,火
獺河内,敦賀市清掃センター,月 木,月,火2,火2,月
江良,敦賀市清掃センター,火 金,火,木4,木4,火
大比田,敦賀市清掃センター,火 金,火,木4,木4,火
大蔵,敦賀市清掃センター,月 木,月,火2,火2,月
越坂,敦賀市清掃センター,月 木,月,火2,火2,月
岡山町1丁目,敦賀市清掃センター,月 木,木,金3,金3,木
岡山町2丁目,敦賀市清掃センター,月 木,木,金3,金3,木
小河口,敦賀市清掃センター,月 木,木,火4,火4,木
小河,敦賀市清掃センター,月 木,木,火4,火4,木
追分,敦賀市清掃センター,水 土,水,金1,金1,水
奥野,敦賀市清掃センター,水 土,水,金1,金1,水
奥麻生,敦賀市清掃センター,水 土,水,金1,金1,水
金ケ崎町,敦賀市清掃センター,水 土,水,木1,木1,水
神楽町1丁目,敦賀市清掃センター,月 木,木,水3,水3,木
神楽町2丁目,敦賀市清掃センター,月 木,木,水3,水3,木
鉄輪町1丁目,敦賀市清掃センター,火 金,金,水3,水3,金
鉄輪町2丁目,敦賀市清掃センター,火 金,火,月2,月2,火
川崎町,敦賀市清掃センター,月 木,月,火1,火1,月
河原町,敦賀市清掃センター,月 木,月,火2,火2,月
川北,敦賀市清掃センター,月 木,月,火2,火2,月
樫曲,敦賀市清掃センター,月 木,月,火2,火2,月
金山,敦賀市清掃センター,火 金,金,月4,月4,金
清水町1丁目,敦賀市清掃センター,火 金,金,月1,月1,金
清水町2丁目,敦賀市清掃センター,火 金,金,月1,月1,金
木ノ芽町,敦賀市清掃センター,月 木,月,金1,金1,月
木崎,敦賀市清掃センター,火 金,金,水2,水2,金
衣掛町,敦賀市清掃センター,水 土,水,金1,金1,水
呉竹町1丁目,敦賀市清掃センター,月 木,木,水1,水1,木
呉竹町2丁目,敦賀市清掃センター,月 木,木,水1,水1,木
櫛川,敦賀市清掃センター,火 金,金,月3,月3,金
沓見,敦賀市清掃センター,水 土,水,火2,火2,水
呉羽町,敦賀市清掃センター,月 木,木,金4,金4,木
櫛川町2丁目,敦賀市清掃センター,火 金,金,水4,水4,金
沓,敦賀市清掃センター,火 金,火,水4,水4,火
櫛林,敦賀市清掃センター,火 金,金,木2,木2,水
公文名,敦賀市清掃センター,水 土,水,火3,火3,水
古田刈,敦賀市清掃センター,月 木,月,火4,火4,月
御名,敦賀市清掃センター,水 土,水,火3,火3,水
栄新町,敦賀市清掃センター,水 土,水,木4,木4,水
桜町,敦賀市清掃センター,水 土,水,木4,木4,水
坂下,敦賀市清掃センター,月 木,月,火4,火4,月
沢,敦賀市清掃センター,水 土,水,木3,木3,水
桜ケ丘町,敦賀市清掃センター,水 土,水,木3,木3,水
白銀町,敦賀市清掃センター,火 金,金,水3,水3,金
昭和町1丁目,敦賀市清掃センター,月 木,木,金4,金4,木
昭和町2丁目,敦賀市清掃センター,月 木,木,金4,金4,木
新松島町,敦賀市清掃センター,火 金,金,水2,水2,金
白木1丁目,敦賀市清掃センター,火 金,火,水4,水4,火
白木2丁目,敦賀市清掃センター,火 金,火,水4,水4,火
新保,敦賀市清掃センター,月 木,月,火2,火2,月
新道,敦賀市清掃センター,水 土,水,金1,金1,水
新和町1丁目,敦賀市清掃センター,水 土,水,金4,金4,水
新和町2丁目,敦賀市清掃センター,水 土,水,木2,木2,水
常宮,敦賀市清掃センター,火 金,火,水4,水4,火
杉津,敦賀市清掃センター,火 金,火,木4,木4,火
杉箸,敦賀市清掃センター,水 土,水,金1,金1,水
砂流,敦賀市清掃センター,水 土,水,火3,火3,水
関,敦賀市清掃センター,水 土,水,木3,木3,水
曽々木,敦賀市清掃センター,水 土,水,金1,金1,水
立石,敦賀市清掃センター,火 金,火,水4,水4,火
田結,敦賀市清掃センター,火 金,火,木4,木4,火
高野,敦賀市清掃センター,月 木,月,火2,火2,月
谷,敦賀市清掃センター,月 木,月,火2,火2,月
谷口,敦賀市清掃センター,月 木,月,火2,火2,月
田尻,敦賀市清掃センター,月 木,月,火2,火2,月
駄口,敦賀市清掃センター,水 土,水,金1,金1,水
中央町1丁目,敦賀市清掃センター,月 木,木,水1,水1,木
中央町2丁目,敦賀市清掃センター,月 木,木,水1,水1,木
角鹿町,敦賀市清掃センター,火 金,火,月1,月1,火
津内町1丁目,敦賀市清掃センター,月 木,木,金2,金2,木
津内町2丁目,敦賀市清掃センター,月 木,木,水3,水3,木
津内町3丁目,敦賀市清掃センター,火 金,火,月2,月2,火
天筒町,敦賀市清掃センター,火 金,火,月1,月1,火
手,敦賀市清掃センター,火 金,火,水4,水4,火
東洋町,敦賀市清掃センター,月 木,木,金2,金2,木
刀根,敦賀市清掃センター,水 土,水,金1,金1,水
堂,敦賀市清掃センター,月 木,木,金3,金3,木
名子,敦賀市清掃センター,火 金,火,水4,水4,火
中,敦賀市清掃センター,月 木,月,火2,火2,月
長沢,敦賀市清掃センター,水 土,水,木3,木3,水
長谷,敦賀市清掃センター,水 土,水,木3,木3,水
布田町,敦賀市清掃センター,月 木,月,金1,金1,月
縄間,敦賀市清掃センター,火 金,火,水4,水4,火
野神,敦賀市清掃センター,月 木,木,金4,金4,木
野坂,敦賀市清掃センター,水 土,水,木3,木3,水
原,敦賀市清掃センター,水 土,水,火2,火2,水
葉原,敦賀市清掃センター,月 木,月,火2,火2,月
鳩原,敦賀市清掃センター,月 木,木,火4,火4,木
萩野町,敦賀市清掃センター,火 金,金,月4,月4,金
開町,敦賀市清掃センター,月 木,木,金2,金2,木
疋田,敦賀市清掃センター,水 土,水,金1,金1,水
ひばりケ丘町,敦賀市清掃センター,火 金,金,月4,月4,金
二村,敦賀市清掃センター,火 金,火,水4,水4,火
藤ケ丘町,敦賀市清掃センター,月 木,月,火2,火2,月
深坂,敦賀市清掃センター,水 土,水,金1,金1,水
平和町,敦賀市清掃センター,月 木,月,火3,火3,月
蓬莱町,敦賀市清掃センター,水 土,水,火1,火1,水
本町1丁目,敦賀市清掃センター,火 金,金,月2,月2,金
本町2丁目,敦賀市清掃センター,火 金,金,月2,月2,金
舞崎町,敦賀市清掃センター,火 金,火,月1,月1,火
舞崎町2丁目,敦賀市清掃センター,火 金,火,月1,月1,火
松栄町,敦賀市清掃センター,月 木,月,火1,火1,月
松島町,敦賀市清掃センター,火 金,金,水2,水2,金
松島町2丁目,敦賀市清掃センター,火 金,金,水2,水2,金
松原町,敦賀市清掃センター,火 金,火,水1,水1,火
松葉町,敦賀市清掃センター,火 金,金,月3,月3,金
鞠山,敦賀市清掃センター,火 金,火,木4,木4,火
港町,敦賀市清掃センター,水 土,水,木1,木1,水
三島町1丁目,敦賀市清掃センター,月 木,木,金2,金2,木
三島町2丁目,敦賀市清掃センター,月 木,木,金2,金2,木
三島町3丁目,敦賀市清掃センター,月 木,木,水3,水3,木
深山寺,敦賀市清掃センター,月 木,月,火2,火2,月
道口,敦賀市清掃センター,水 土,水,金1,金1,水
みどりケ丘町,敦賀市清掃センター,水 土,水,木3,木3,水
元町,敦賀市清掃センター,水 土,水,木1,木1,水
元比田,敦賀市清掃センター,火 金,火,木4,木4,火
山泉,敦賀市清掃センター,月 木,木,金3,金3,木
山,敦賀市清掃センター,水 土,水,木2,木2,水
結城町,敦賀市清掃センター,月 木,月,火1,火1,月
横浜,敦賀市清掃センター,火 金,火,木4,木4,火
余座,敦賀市清掃センター,月 木,月,火2,火2,月
吉河,敦賀市清掃センター,月 木,月,火4,火4,月
若泉町,敦賀市清掃センター,月 木,月,金1,金1,月
和久野,敦賀市清掃センター,水 土,水,金3,金3,水
若葉町1丁目,敦賀市清掃センター,月 木,月,水4,水4,月
若葉町2丁目,敦賀市清掃センター,月 木,月,水4,水4,月
若葉町3丁目,敦賀市清掃センター,月 木,月,水4,水4,月
